average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.7608200000000003,0.4572084999999998,01,2014-01,2014
3.7523184375,0.495285625,02,2014-02,2014
3.654800729166667,0.4876831250000001,03,2014-03,2014
3.647221770833333,0.4718568750000003,04,2014-04,2014
3.8652585858585855,0.45658282828282853,05,2014-05,2014
3.802079569892473,0.4870799999999999,06,2014-06,2014
3.6710245833333337,0.5677875000000001,07,2014-07,2014
3.571748979591837,0.585454081632653,08,2014-08,2014
3.580811363636364,0.5870454545454542,09,2014-09,2014
3.605122643097643,0.5655797979797976,10,2014-10,2014
3.5569766877637132,0.537879746835443,11,2014-11,2014
3.6696603375527426,0.5118037974683545,12,2014-12,2014
