average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.331588229166667,0.4483512499999997,01,2019-01,2019
3.193900833333333,0.4520024999999997,02,2019-02,2019
3.2213928087986465,0.49279492385786755,03,2019-03,2019
3.1181821581196583,0.5100897435897433,04,2019-04,2019
3.2109218013468013,0.5172121212121208,05,2019-05,2019
3.3171443736730364,0.5348197452229297,06,2019-06,2019
3.394274947589098,0.5221874213836478,07,2019-07,2019
3.4218919217687076,0.5435040816326531,08,2019-08,2019
3.2825836644591613,0.5592185430463574,09,2019-09,2019
3.2023751633986928,0.5269575163398694,10,2019-10,2019
3.202940186125211,0.500230964467005,11,2019-11,2019
3.4677234177215186,0.5194246835443038,12,2019-12,2019
