average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.5836424145299146,0.5167294871794873,01,2017-01,2017
3.5811608974358977,0.4964743589743589,02,2017-02,2017
3.590120618556701,0.4851170103092785,03,2017-03,2017
3.6128151041666663,0.5028049999999997,04,2017-04,2017
3.6162617088607596,0.5671145569620252,05,2017-05,2017
3.538107070707071,0.5839585858585858,06,2017-06,2017
3.514688034188034,0.5812673076923074,07,2017-07,2017
3.4254077991452987,0.5843717948717947,08,2017-08,2017
3.348620583333333,0.5720555,09,2017-09,2017
3.3936255208333335,0.5059250000000001,10,2017-10,2017
3.5289404166666665,0.48563624999999977,11,2017-11,2017
3.6421235343383587,0.5576452261306531,12,2017-12,2017
