average_song_duration_in_minitues,average_song_valience,month
3.6295130569948184,0.508766943005182,01
3.5963880568356372,0.5131012672811056,02
3.575672683544304,0.5095073924050635,03
3.5917827304261647,0.5300274529236872,04
3.6388894439208292,0.5387661168708763,05
3.614744593698176,0.5379238308457704,06
3.6603193724066387,0.5449367219917014,07
3.6167564737573863,0.539012460896768,08
3.587723823742309,0.5306895765472324,09
3.5765611140630535,0.5146396386822537,10
3.5864233614479,0.49492788613600563,11
3.735075585869185,0.5141186253934958,12
