average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.8042635897435897,0.5461220512820515,01,2010-01,2010
3.7244422077922077,0.5476525974025974,02,2010-02,2010
3.630398494623656,0.5313154838709678,03,2010-03,2010
3.7198748281786944,0.5434329896907215,04,2010-04,2010
3.8371387500000003,0.5537062500000002,05,2010-05,2010
3.791180128205128,0.5628499999999999,06,2010-06,2010
3.6111493127147765,0.5836855670103093,07,2010-07,2010
3.565866989247312,0.5474709677419355,08,2010-08,2010
3.6218928125,0.5204537499999997,09,2010-09,2010
3.6065021150592216,0.5150258883248735,10,2010-10,2010
3.713767948717949,0.5574749999999998,11,2010-11,2010
3.749650837520938,0.5259804020100504,12,2010-12,2010
