average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.732059599156118,0.5539430379746838,01,2011-01,2011
3.7601005341880342,0.5482141025641025,02,2011-02,2011
3.745052004219409,0.5098189873417719,03,2011-03,2011
3.6834865996649913,0.4992603015075374,04,2011-04,2011
3.7848877136752135,0.5208974358974359,05,2011-05,2011
3.867547435897436,0.5300423076923078,06,2011-06,2011
3.80414537521815,0.5642041884816753,07,2011-07,2011
3.7868391025641026,0.520505128205128,08,2011-08,2011
3.786718341708543,0.5157522613065325,09,2011-09,2011
3.8192542708333335,0.5192218749999997,10,2011-10,2011
3.7583213541666667,0.45936125000000017,11,2011-11,2011
3.906553852596315,0.514168341708543,12,2011-12,2011
