average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.719876851851852,0.4791378787878786,01,2016-01,2016
3.6285823958333334,0.4764075000000001,02,2016-02,2016
3.6429630208333332,0.49735625,03,2016-03,2016
3.6345361394557827,0.5452602040816327,04,2016-04,2016
3.679548602150538,0.5456580645161292,05,2016-05,2016
3.651599145299145,0.5311538461538464,06,2016-06,2016
3.6149832478632478,0.5473282051282055,07,2016-07,2016
3.5423427293064877,0.5511409395973155,08,2016-08,2016
3.498194736842105,0.5181636842105267,09,2016-09,2016
3.5326350225225225,0.5136000000000002,10,2016-10,2016
3.585509271523179,0.5268768211920531,11,2016-11,2016
3.664421391752577,0.5409432989690726,12,2016-12,2016
