average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.825590520833333,0.5274149999999999,01,2012-01,2012
3.844596815286624,0.5359452229299366,02,2012-02,2012
3.7448289930555556,0.534508854166667,03,2012-03,2012
3.758392735042735,0.5432903846153846,04,2012-04,2012
3.6664150641025643,0.54974358974359,05,2012-05,2012
3.6158510833333333,0.5140150000000002,06,2012-06,2012
3.808887395833333,0.5189725000000004,07,2012-07,2012
3.9165279731993303,0.5103316582914577,08,2012-08,2012
3.8706303797468355,0.5234063291139242,09,2012-09,2012
3.82066855345912,0.48428742138364816,10,2012-10,2012
3.7511960636515913,0.4857467336683421,11,2012-11,2012
3.835075104166667,0.48790125000000045,12,2012-12,2012
