average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.6334676160337556,0.5153525316455696,01,2018-01,2018
3.5785134375,0.5101125,02,2018-02,2018
3.5085908333333338,0.49994699999999975,03,2018-03,2018
3.5020459375,0.49159624999999985,04,2018-04,2018
3.5394053125,0.5174399999999998,05,2018-05,2018
3.486155916666667,0.5169625,06,2018-06,2018
3.4487794791666664,0.49643,07,2018-07,2018
3.43757725,0.4732295000000002,08,2018-08,2018
3.4217847916666666,0.44224625,09,2018-09,2018
3.2829440251572333,0.4559528301886792,10,2018-10,2018
3.3256552763819096,0.4412814070351757,11,2018-11,2018
3.585636770833333,0.54099,12,2018-12,2018
