average_song_duration_in_minitues, year
3.6601845833333333, 2009
4.1319440251572335, 2010
3.6350131410256408, 2011
3.681461858974359, 2012
3.966267628205128, 2013
3.5776766025641025, 2014
3.6929493589743587, 2015
3.829990251572327, 2016
3.8003407051282054, 2017
3.558882371794872, 2018
3.4176423076923075, 2019
3.3953314102564103, 2020
