average_song_duration_in_minitues,average_song_valience,year
3.8267607376875925,0.5782052631578967,2009
3.6982716706827308,0.5443237108433712,2010
3.7868481282552082,0.5211838378906251,2011
3.7860411316472113,0.5172622081712053,2012
3.7287735902407495,0.5187468250121166,2013
3.680115070491006,0.5172335439961109,2014
3.5948448236632538,0.5059286201852756,2015
3.618352290448343,0.522803996101365,2016
3.530896192563728,0.5376138334145126,2017
3.476171820809249,0.4911249518304464,2018
3.279420576232452,0.5104415279138105,2019
3.2853723537146613,0.5325311637080856,2020
