average_song_duration_in_minitues,average_song_valience,month,month_year,year
3.4303587500000003,0.5468999999999998,03,2009-03,2009
3.674839098532495,0.5820125786163526,04,2009-04,2009
3.7982559523809525,0.5998596938775517,05,2009-05,2009
3.8692808333333337,0.5692537500000004,06,2009-06,2009
4.1027933333333335,0.5777745000000002,07,2009-07,2009
3.87350376344086,0.5798064516129031,08,2009-08,2009
3.724820215053763,0.6021870967741936,09,2009-09,2009
3.721616493955095,0.6016373056994819,10,2009-10,2009
3.8208607966457024,0.5590754716981133,11,2009-11,2009
3.9103567708333333,0.531173125,12,2009-12,2009
